Age,Arrival Service,Booking Services,Immediate Transfer,Lounge Service,Check-in Service,Boarding Service,Layover Service,Onboard Services,Baggage Service,Immigration Security,Call Center Service,Departure Delay,Arrival Delay,Total Delay,Age_log,Arrival Delay_log,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Eco,Class_Leisure,Satisfaction_Satisfied
59,4,2,2,1,4,2,5,2,5,5,3,0,0.0,0.0,4.0943445622221,0.0,False,False,False,False,False,True
46,5,1,3,3,3,1,3,3,5,4,1,23,3.0,26.0,3.8501476017100584,1.3862943611198906,False,False,False,False,False,True
45,3,1,1,4,4,3,3,3,5,2,5,0,0.0,0.0,3.828641396489095,0.0,True,False,False,True,False,True
40,5,1,2,5,1,4,2,2,4,5,5,0,0.0,0.0,3.713572066704308,0.0,False,False,False,False,False,True
54,5,3,1,5,2,4,5,1,2,5,2,0,0.0,0.0,4.007333185232471,0.0,True,False,False,False,False,True
25,2,5,1,5,3,3,4,4,5,4,4,0,0.0,0.0,3.258096538021482,0.0,False,False,False,False,False,True
44,3,5,3,3,1,1,5,3,5,4,1,23,13.0,36.0,3.8066624897703196,2.6390573296152584,False,False,False,True,False,True
30,3,4,1,3,2,4,1,5,5,5,3,0,0.0,0.0,3.4339872044851463,0.0,False,False,False,False,False,True
23,3,1,5,2,4,2,5,4,1,2,4,0,0.0,0.0,3.1780538303479458,0.0,False,False,True,True,False,False
28,5,3,2,2,1,3,2,5,3,3,5,0,0.0,0.0,3.367295829986474,0.0,True,False,False,False,False,True
40,4,2,1,5,5,4,5,3,3,1,5,0,8.0,8.0,3.713572066704308,2.1972245773362196,False,False,False,False,False,True
45,3,2,1,1,2,4,1,1,3,1,1,0,0.0,0.0,3.828641396489095,0.0,False,False,False,False,False,True
55,5,4,4,4,2,5,4,3,5,5,1,42,61.0,103.0,4.02535169073515,4.127134385045092,False,False,True,True,False,False
30,2,4,4,2,4,1,3,3,1,3,3,0,0.0,0.0,3.4339872044851463,0.0,False,False,False,False,False,False
57,4,1,5,4,5,3,1,5,2,4,2,8,0.0,8.0,4.060443010546419,0.0,True,False,False,False,False,True
32,2,1,4,1,3,4,1,1,2,1,3,0,0.0,0.0,3.4965075614664802,0.0,True,False,False,False,False,True
62,4,2,1,5,1,3,3,2,3,5,5,2,5.0,7.0,4.143134726391533,1.791759469228055,True,False,True,True,False,False
11,5,2,1,4,4,2,5,1,5,2,5,47,24.0,71.0,2.4849066497880004,3.2188758248682006,False,False,True,False,True,False
34,1,2,2,5,5,5,2,5,2,3,3,0,17.0,17.0,3.5553480614894135,2.8903717578961645,False,False,False,False,False,True
48,4,2,4,4,2,1,4,3,4,4,4,19,12.0,31.0,3.8918202981106265,2.5649493574615367,True,False,False,False,False,True
52,2,5,3,1,2,1,5,2,2,1,2,15,93.0,108.0,3.970291913552122,4.543294782270004,False,False,False,False,False,True
58,5,1,4,2,2,2,3,4,5,3,2,0,0.0,0.0,4.07753744390572,0.0,False,False,False,False,False,True
40,4,1,1,3,5,4,2,1,2,3,1,0,0.0,0.0,3.713572066704308,0.0,False,True,False,False,False,False
33,1,2,2,5,5,5,4,5,5,2,2,0,0.0,0.0,3.5263605246161616,0.0,True,True,False,True,False,False
60,1,3,4,2,3,1,2,4,1,3,1,0,0.0,0.0,4.110873864173311,0.0,True,False,False,True,False,True
35,3,2,2,4,1,3,3,5,2,2,2,1,0.0,1.0,3.58351893845611,0.0,True,True,False,True,False,False
68,3,4,4,2,2,2,2,1,2,1,2,2,7.0,9.0,4.23410650459726,2.0794415416798357,False,False,True,True,False,False
47,2,3,5,3,3,1,4,3,3,5,5,0,0.0,0.0,3.871201010907891,0.0,True,False,False,False,False,True
50,4,4,1,5,5,4,5,3,5,2,2,0,0.0,0.0,3.9318256327243257,0.0,False,False,True,True,False,False
40,4,3,1,5,3,5,3,5,1,5,5,0,0.0,0.0,3.713572066704308,0.0,False,False,False,False,False,True
